,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
3760,Theatre of War,"April 19, 2007",PC,66,6.3,"Theatre of War is a World War Two real-time strategy game. Theatre of War depicts authentic battles of World War II between 1939-1945. Command hundreds of different unit types in 5 historically accurate campaigns (US, UK, Soviet, German, French and Polish). This isn't just another WW2 RTS click-fest, but a Real Time Combat Simulator with an emphasis firmly entrenched on realism and detail, historical accuracy, and real world military tactics that will challenge even the most battle hardened armchair general. [Battlefront.com]",13,"Battlefront.com, 1C, 1C Entertainment",Battlefront.com,1,"Strategy,Real-Time,Historic,General,Historic,Tactics"
3761,Mole Control,"January 20, 2010",PC,66,tbd,"The people of Molar Creek have lived alongside the region's infamous exploding moles for hundreds of years but the night before the village's annual Mole Control competition and a mystery villain has set the exploding moles loose within the town itself. It's now down to you and local inventor Dr Kraft to find the moles and reclaim Molar Creek. Mole Control is a puzzle game that brings the classic logic based game play of minesweeper into the 21st century. Pilot a crazy invention across a mind-bending adventure, or enjoy a frantic time attack challenge, all with the comical aim to rid one town of exploding moles. [Blizt]",8,Remode,MumboJumbo,1,"Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic"
3762,I Am Alive,"September 6, 2012",PC,66,6.0,"I Am Alive thrusts you into the role of a lone survivor in a believable, dark and insecure post-apocalyptic world. One year after the Event, a worldwide cataclysmic event that wiped most of the human race, a man struggles for survival in a desolate city as he tries to reunite with his long lost wife and daughter.",10,Ubisoft Shanghai,Ubisoft,3,"Action Adventure,Horror,Horror,Survival"
3763,Desperados 2: Cooper's Revenge,"May 5, 2006",PC,66,6.4,"Desperados 2 is the sequel of the successful wild west title ""Desperados – Wanted Dead or Alive"".
The gameplay is based on its predecessor but with brand new tactical possibilities in a beautiful 3D environment. The player is able to switch from an isometric view to a third person view whenever he wants, for example for duels, brawls and shoot-outs. There will be a great variety of setting for example dusty canyons, ghost towns, Indian villages and forts creating a breathtaking atmosphere. Take on the role of up to 6 heroes including the famous bounty hunter John Cooper and experience in a thrilling story with surprising turns. [Spellbound]",13,Spellbound,Atari,1,"Strategy,Real-Time,Historic,General,Historic"
3764,Moto Racer 3,"January 31, 2002",PC,66,7.5,"Weave your way through realistic downtown Paris in the never before seen Traffic mode. Features six blood-pumping racing styles, including street, motocross, supercross, freestyle, trial and traffic with 32 all-new bikes. 15 tracks immerse the player in completely different racing environments, such as Grand Prix, touring, indoor, and outdoor. [Infogrames]",10,Delphine Software International,Atari,1,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross"
3765,Lost Planet: Extreme Condition,"June 26, 2007",PC,66,7.2,"In Lost Planet, human snow pirates navigate VS (Vital Suits) through hostile ice-covered environments, fighting against the indigenous Akrid creatures for the precious thermal energy they need to survive. For one such pilot named Wayne, death almost seemed imminent until he was fortunately rescued. However, he can only remember a few fragments of his past including the slaying of his father by the monstrous beings. Yet under the veil of ice, a devious plan has been set into motion for the termination of all Akrid and snow pirates alike. What really happened to Wayne? Who is plotting the destructive scheme? Encounter valuable allies and dangerous enemies on Wayne's search for the truth. [Capcom]",23,Capcom,Capcom,3,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade"
3766,Sunset (2015),"May 21, 2015",PC,66,2.9,"Assume the role of Angela Burnes, a US immigrant in a small Latin American country ruled by a military dictatorship. The year is 1972. You take care of the luxurious penthouse of Gabriel Ortega, once a week, an hour before sunset. And then a violent uprising breaks out in the metropolis below.",34,Tale of Tales,Tale of Tales,1,"Modern,Adventure,3D,First-Person"
3767,The Walking Dead: Michonne - Episode 2: Give No Shelter,"March 29, 2016",PC,66,6.3,"Surrounded by the dead and mistrustful of the living, you – as Michonne - will choose how the story flows through the choices you make, in this three-part episodic miniseries.",24,Telltale Games,Telltale Games,6,"Adventure,3D,Third-Person"
3768,Cold Fear,"May 17, 2005",PC,66,7.6,"Cold Fear is the first action-horror title under the Ubisoft brand. The game is set in a dynamic environment on a stormy sea, including intense combat, intelligent enemies, and a high element of the shockingly unexpected. Your life jacket won't be sufficient. Players step into the role of Tom Hansen, a U.S. Coast Guard who is sent to board a drifting Russian whaling ship in the middle of a howling storm on the Bering Sea, who will discover there is no safe place here. On this constantly rocking and shifting ship and a mysterious oil rig, players must turn their interactive surroundings to their advantage to take down human enemies ? and enemies that aren't human any more - and save their own life. [Ubisoft]",13,Darkworks,Ubisoft,2,"Action Adventure,Horror,Horror,Survival"
3769,WRC 6: World Rally Championship,"October 7, 2016",PC,66,5.1,"All 14 rounds of the 2016 WRC season, including for the first time Rally China; All the star WRC drivers and also a wide selection of WRC 2 teams and competitors from the Junior WRC category eSports WRC, the first international online competition of the WRC, which was launched in January 2016 with WRC 5, will continue in WRC 6.",9,Kylotonn,Bigben Interactive,3,"Racing,Simulation,Automobile"
3770,The Bureau: XCOM Declassified,"August 19, 2013",PC,66,6.5,"It's 1962. John F. Kennedy is the U.S. President and the Cold War has the nation gripped with fear – but a far more viscous and insidious enemy than communism is threatening America. Known only to a scant few, a covet government unit called The Bureau begins investigating and concealing a series of mysterious attacks by an alien enemy. As special agent William Carter, you make the decisions, pull the trigger and lead your squad in a third-person tactical shooter set within a high-stakes, covert war to defend the human race. The Bureau’s mission is clear – survive, adapt and overcome the enemy threat (Heartbreak Ridge-style) to protect the citizens from the truth.",45,2K Marin,2K Games,3,"Action,Shooter,Shooter,First-Person,Third-Person,Sci-Fi,Sci-Fi,Tactical,Arcade"
3771,The Crew 2,"June 28, 2018",PC,66,4.9,"The newest iteration in the franchise, The Crew 2 captures the thrill of the American motorsports spirit in an open world. Welcome to Motornation, a huge, varied, action-packed playground built for motorsports throughout the entire US of A. Enjoy unrestrained exploration on ground, sea, and sky. From coast to coast, street and pro racers, off-road explorers, and freestylers gather and compete in all kinds of disciplines. Join them in high-octane contests and share every glorious moment with the world. The Crew 2 gives you the chance to showcase your skills and rise as a multi-skilled motorsports champion. [Ubisoft]",21,Ubisoft Ivory Tower,Ubisoft,4,"Racing,Simulation,Automobile"
3772,Maneater: Truth Quest,"August 31, 2021",PC,66,4.0,"Starring the titular and evolved bull shark protagonist – and Chris Parnell (Saturday Night Live, Rick and Morty, Archer), reprising his role as investigative journalist Trip Westhaven, Maneater: Truth Quest will take players down the rabbit hole of dark secrets and conspiracies surrounding Port Clovis and the Naval Wildlife Organization (NWO). The original stories of animals growing bone like armor, emitting flesh-eating toxins, or using electricity as a weapon were simply just old fisherman's tales. That is until conspiracy theorists everywhere pointed to the original Maneater as solid proof of a Government coverup. Trip Westhaven, driven the brink of madness, fires up his ViewTube channel “Truth Quest”, to take his followers, the “Questers” into deep waters in an effort to uncover the dark secrets behind this whale of a tale.",7,Tripwire Interactive,Tripwire Interactive,6,"Action Adventure,General"
3773,Fairy Fencer F,"August 4, 2015",PC,66,7.9,"Long ago, a terrible war raged between two deities. Wielding magical weapons known as Furies, they sealed each other away and the remaining Furies were scattered throughout the world. Today, these ancient weapons are sought after by warriors known as Fencers. When a young man named Fang obtains a Fury of his own, he gains an unlikely partner, and the course of his destiny is forever altered...

A world of magic and adventure awaits you in Fairy Fencer F! Take charge of your destiny as you brave dungeons, defeat monsters, and travel the world to collect all 100 Furies. But be carefulthe Furies are coveted by many Fencers, good and bad. Pray these powerful weapons do not fall into the wrong hands.",9,Idea Factory,Idea Factory,2,"Role-Playing,Japanese-Style"
